Location list generated 2022-04-27  9:57 AM UTC

0.1 mile east of Point Evans, The Narrows, Washingt Sub 47.2858° N, 122.5445° W
0.1 mile SW of Devils Foot Island, Woods Hole, Mass Sub 41.5200° N,  70.6850° W
0.3 mile northeast of, Marrowstone Point, Washingto Sub 48.1000° N, 122.6833° W
0.4 mile north of, Brunswick River, North Carolina  Sub 34.1812° N,  77.9658° W
0.4 mile north of, Brunswick River, North Carolina  Sub 34.1812° N,  77.9658° W
0.4 mile northeast of, Marrowstone Point, Washingto Sub 48.1000° N, 122.6833° W
0.5 mile NE of Little Gull Island, The Race, New Yo Sub 41.2167° N,  72.1000° W
0.5 mile southeast of, Pinellas Point, Florida Curr Sub 27.6970° N,  82.6325° W
0.8 n.mi. above entrance, Alloway Creek, New Jersey Sub 39.4967° N,  75.5167° W
0.8 n.mi. above entrance, Alloway Creek, New Jersey Sub 39.4967° N,  75.5167° W
1 n.mi. above entrance, Mad Horse Creek, New Jersey Sub 39.4317° N,  75.4467° W
1.1 miles northwest of, Marrowstone Point, Washingt Sub 48.1167° N, 122.7000° W
1.6 miles northeast of, Marrowstone Point, Washingt Sub 48.1167° N, 122.6667° W
1.8 miles north of mouth, Brunswick River, North Ca Sub 34.2055° N,  77.9745° W
1.9 miles SE of, Pinellas Point, Florida Current    Sub 27.6847° N,  82.6097° W
130th Street, Hudson River, New York                Sub 40.8167° N,  73.9667° W
2.4 miles southwest of, Point Judith, Rhode Island  Sub 41.3312° N,  71.5108° W
2.5 miles above mouth, Little Satilla River, Georgi Sub 31.0583° N,  81.4933° W
2.5 miles above mouth, Little Satilla River, Georgi Sub 31.0667° N,  81.5000° W
2.5 n.mi. above entrance, Alloway Creek, New Jersey Sub 39.5050° N,  75.4833° W
2.5 n.mi. above entrance, Alloway Creek, New Jersey Sub 39.5050° N,  75.4833° W
2.6 miles south of, Pinellas Point, Florida Current Sub 27.6605° N,  82.6417° W
28th St. Pier (San Diego), 0.35 nmi. SW, California Sub 32.6828° N, 117.1428° W
28th St. Pier (San Diego), 0.35 nmi. SW, California Sub 32.6828° N, 117.1428° W
